Dlugosc_kroku,Lp,x1_0,x2_0,SD_x1,SD_x2,SD_y,SD_f_calls,SD_g_calls,SD_Globalne,CG_x1,CG_x2,CG_y,CG_f_calls,CG_g_calls,CG_Globalne,Newt_x1,Newt_x2,Newt_y,Newt_f_calls,Newt_g_calls,Newt_H_calls,Newt_Globalne
Zmienny,78,-1.86594,-1.86397,-2.43717e-06,3.72704e-06,1.6687e-11,5,4,TAK,4.26772e-07,-6.34073e-07,4.95713e-13,5,4,TAK,-1.74755,0.873776,0.298638,5,4,4,NIE
Zmienny,79,-1.65065,-0.164097,-1.74755,0.873775,0.298638,6,5,NIE,-1.74755,0.873775,0.298638,6,5,NIE,-1.74755,0.873776,0.298638,6,5,5,NIE
Zmienny,80,0.734333,0.474306,-7.51643e-07,-1.60032e-06,4.89383e-12,3,2,TAK,-2.7746e-07,4.55366e-07,2.34981e-13,3,2,TAK,1.34314,-0.671567,0.718344,3,2,2,NIE
Zmienny,81,0.926269,-1.67089,1.74755,-0.873769,0.298638,3,2,NIE,1.74756,-0.873801,0.298638,3,2,NIE,1.0877,-0.543857,0.876716,3,2,2,NIE
Zmienny,82,-0.804588,1.19398,-2.69494e-07,9.07913e-07,7.24882e-13,3,2,TAK,1.13483e-07,2.08071e-06,4.59124e-12,3,2,TAK,-1.18158,0.590796,0.850139,3,2,2,NIE
Zmienny,83,1.45286,1.78263,-1.59548e-07,-3.49899e-06,1.28521e-11,5,4,TAK,-1.26964e-05,2.59612e-05,6.66769e-10,5,4,TAK,1.2679e-14,2.48836e-14,1.25621e-27,5,4,4,TAK
Zmienny,84,-1.70846,1.77111,-1.34648e-06,1.96434e-06,4.83971e-12,5,4,TAK,-1.74755,0.873776,0.298638,5,4,NIE,-1.74755,0.873776,0.298638,5,4,4,NIE
Zmienny,85,-1.37557,1.1555,-1.74755,0.873789,0.298638,3,2,NIE,-1.74755,0.873779,0.298638,3,2,NIE,-0.886844,0.443424,0.807946,3,2,2,NIE
Zmienny,86,-0.932523,-1.00126,4.50796e-07,3.88391e-06,1.7242e-11,3,2,TAK,1.2824e-06,-4.36211e-06,1.67231e-11,3,2,TAK,-1.08572,0.542852,0.876857,3,2,2,NIE
Zmienny,87,-0.0771545,-0.248536,2.53994e-06,-4.16717e-06,1.96835e-11,4,3,TAK,5.77468e-10,-1.31081e-09,1.62822e-18,4,3,TAK,1.17495e-14,-1.68928e-14,3.62987e-28,4,3,3,TAK
Zmienny,88,-1.13757,1.66959,-1.74755,0.87376,0.298638,3,2,NIE,-1.74755,0.873788,0.298638,3,2,NIE,-1.07072,0.535382,0.877361,3,2,2,NIE
Zmienny,89,-1.27676,1.34325,-1.74756,0.87379,0.298638,3,2,NIE,-1.74755,0.873781,0.298638,3,2,NIE,-1.0423,0.521152,0.875627,3,2,2,NIE
Zmienny,90,-1.27194,0.0562084,-1.74755,0.87377,0.298638,3,2,NIE,-1.74755,0.873757,0.298638,3,2,NIE,-1.04503,0.522511,0.875946,3,2,2,NIE
Zmienny,91,1.5478,-0.269341,1.74755,-0.873761,0.298638,6,5,NIE,1.74755,-0.873772,0.298638,6,5,NIE,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,92,0.878796,-1.22023,-3.08128e-07,-2.00968e-07,2.92198e-13,3,2,TAK,-9.58077e-08,4.77798e-07,2.00872e-13,3,2,TAK,1.1095,-0.554751,0.874024,3,2,2,NIE
Zmienny,93,0.645302,1.01285,8.21555e-07,2.68011e-06,1.07347e-11,6,5,TAK,-1.54741e-07,6.62638e-07,3.84441e-13,6,5,TAK,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,94,-1.08421,0.994653,-1.74755,0.873761,0.298638,3,2,NIE,-1.74755,0.873858,0.298638,3,2,NIE,-1.07059,0.535295,0.877362,3,2,2,NIE
Zmienny,95,-1.15124,1.65012,-1.74755,0.873762,0.298638,3,2,NIE,-1.74755,0.87378,0.298638,3,2,NIE,-1.07046,0.535233,0.877362,3,2,2,NIE
Zmienny,96,-0.531041,1.77502,-1.06314e-06,4.94797e-06,2.14825e-11,6,5,TAK,-5.44031e-07,5.35434e-07,5.87336e-13,6,5,TAK,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,97,1.97923,0.664371,6.12129e-08,-1.35905e-07,1.76451e-14,6,5,TAK,-1.65433e-07,2.01217e-08,5.18125e-14,6,5,TAK,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,98,0.969007,1.43209,3.9404e-06,-5.19782e-06,3.75893e-11,3,2,TAK,-6.88767e-07,-6.45321e-07,1.80972e-12,3,2,TAK,1.0772,-0.53859,0.877265,3,2,2,NIE
Zmienny,99,0.446997,1.26055,-2.36955e-06,3.77199e-06,1.65195e-11,6,5,TAK,-1.71772e-07,2.20572e-07,6.97751e-14,6,5,TAK,-1.50281e-15,1.87915e-15,5.22409e-30,6,5,5,TAK
Zmienny,100,1.2032,1.07143,6.54351e-07,-6.89855e-06,4.39323e-11,3,2,TAK,-3.85086e-06,6.25468e-06,4.46933e-11,3,2,TAK,1.06642,-0.533202,0.877324,3,2,2,NIE
