Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,5,66,0.895254,-3.88356,2.638,3.63754,-0.217234,350,4.49341
Zewnetrzna,5,67,1.08288,4.3321,1.26151,4.31269,-0.217234,420,4.49341
Zewnetrzna,5,68,0.535857,-3.6986,1.65043,4.17933,-0.217234,325,4.49341
Zewnetrzna,5,69,0.961561,3.83357,1.50629,4.23342,-0.217234,920,4.49341
Zewnetrzna,5,70,-2.12745,-1.98647,3.23538,3.11818,-0.217234,430,4.49341
Zewnetrzna,5,71,3.34557,-1.12075,4.26611,1.41105,-0.217234,320,4.49341
Zewnetrzna,5,72,0.108311,0.562556,3.41157,2.92436,-0.217234,595,4.49341
Zewnetrzna,5,73,4.33849,-4.8803,3.9061,2.22106,-0.217234,690,4.49341
Zewnetrzna,5,74,-1.18943,-2.78094,1.54815,4.21829,-0.217234,465,4.49341
Zewnetrzna,5,75,4.23449,-3.29347,2.71513,3.58034,-0.217234,495,4.49341
Zewnetrzna,5,76,4.47746,-0.956123,3.70578,2.54124,-0.217234,350,4.49341
Zewnetrzna,5,77,-0.640597,2.66951,2.78945,3.52274,-0.217234,360,4.49341
Zewnetrzna,5,78,3.06739,-3.42517,1.67462,4.1697,-0.217234,535,4.49341
Zewnetrzna,5,79,3.98981,-0.33015,4.17775,1.65442,-0.217234,460,4.49341
Zewnetrzna,5,80,0.0110076,3.65231,1.92415,4.06059,-0.217234,325,4.49341
Zewnetrzna,5,81,-4.02915,-4.09374,3.21124,3.14304,-0.217234,555,4.49341
Zewnetrzna,5,82,4.76876,2.05373,3.68389,2.57288,-0.217234,300,4.49341
Zewnetrzna,5,83,-4.76164,0.304614,3.37658,2.96469,-0.217234,475,4.49341
Zewnetrzna,5,84,3.35514,1.19992,4.07024,1.90365,-0.217234,480,4.49341
Zewnetrzna,5,85,-0.861816,-3.77232,1.28891,4.30458,-0.217234,335,4.49341
Zewnetrzna,5,86,4.21345,-2.51624,1.92607,4.05968,-0.217234,645,4.49341
Zewnetrzna,5,87,0.106935,-0.678237,1.57101,4.20983,-0.217234,360,4.49341
Zewnetrzna,5,88,3.04631,-0.554579,3.93537,2.16878,-0.217234,455,4.49341
Zewnetrzna,5,89,-0.558536,-3.14312,1.41149,4.26596,-0.217234,745,4.49341
Zewnetrzna,5,90,1.66448,-1.32405,2.76211,3.54422,-0.217234,460,4.49341
Zewnetrzna,5,91,-1.43658,1.14193,4.06839,1.90759,-0.217234,475,4.49341
Zewnetrzna,5,92,2.71983,2.92282,2.4906,3.74,-0.217234,290,4.49341
Zewnetrzna,5,93,-1.18856,0.787221,4.0507,1.94487,-0.217234,615,4.49341
Zewnetrzna,5,94,4.49765,-2.19875,4.37001,1.04583,-0.217234,470,4.49341
Zewnetrzna,5,95,-4.54293,-0.491346,4.23974,1.48841,-0.217234,355,4.49341
Zewnetrzna,5,96,-3.54643,-3.57208,3.12618,3.22765,-0.217234,585,4.49341
Zewnetrzna,5,97,0.414915,-3.77768,1.49492,4.23744,-0.217234,389,4.49341
Zewnetrzna,5,98,3.48166,0.653275,4.23371,1.50547,-0.217234,595,4.49341
Zewnetrzna,5,99,1.52694,1.83679,1.80129,4.11656,-0.217234,325,4.49341
Zewnetrzna,5,100,-3.1468,-4.33488,2.01033,4.01862,-0.217234,510,4.49341
Wewnetrzna,5,1,4.22518,1.42745,3.17883,3.17581,-0.217234,1895,4.49341
Wewnetrzna,5,2,2.25992,2.26893,3.17665,3.17799,-0.217234,2220,4.49341
Wewnetrzna,5,3,3.15529,1.47884,3.17905,3.17559,-0.217234,2220,4.49341
Wewnetrzna,5,4,2.22122,2.71267,3.17725,3.17738,-0.217234,1515,4.49341
Wewnetrzna,5,5,2.40263,3.64587,3.17838,3.17626,-0.217234,2055,4.49341
Wewnetrzna,5,6,1.17021,1.49102,3.17814,3.1765,-0.217234,2200,4.49341
Wewnetrzna,5,7,2.81542,2.69403,3.17884,3.1758,-0.217234,1905,4.49341
Wewnetrzna,5,8,3.80475,2.61458,3.17736,3.17728,-0.217234,2050,4.49341
Wewnetrzna,5,9,2.68668,1.58711,3.17756,3.17707,-0.217234,1515,4.49341
Wewnetrzna,5,10,3.76118,1.91286,3.17753,3.17709,-0.217234,1375,4.49339
Wewnetrzna,5,11,2.01355,1.0221,3.17564,3.179,-0.217234,1910,4.49341
Wewnetrzna,5,12,1.49994,2.228,3.17663,3.17801,-0.217234,2230,4.49341
Wewnetrzna,5,13,4.09982,2.72016,3.17777,3.17687,-0.217234,2070,4.49341
Wewnetrzna,5,14,3.93966,1.50345,3.17745,3.17718,-0.217234,1500,4.49341
Wewnetrzna,5,15,1.36703,4.10888,3.17689,3.17775,-0.217234,2085,4.49341
Wewnetrzna,5,16,1.99347,3.18145,3.1778,3.17682,-0.217234,1320,4.49339
Wewnetrzna,5,17,1.79818,3.89777,3.17622,3.17842,-0.217234,1870,4.49341
Wewnetrzna,5,18,2.2974,1.64338,3.17692,3.17772,-0.217234,2115,4.49341
Wewnetrzna,5,19,2.39403,3.98308,3.17842,3.17622,-0.217234,2250,4.49341
Wewnetrzna,5,20,2.22948,1.15621,3.17643,3.17821,-0.217234,2230,4.49341
Wewnetrzna,5,21,1.17731,3.07673,3.17656,3.17808,-0.217234,2275,4.49341
Wewnetrzna,5,22,2.41088,1.67624,3.17802,3.17662,-0.217234,2080,4.49341
Wewnetrzna,5,23,4.30373,1.5117,3.17658,3.17806,-0.217234,2260,4.49341
Wewnetrzna,5,24,3.3954,3.24439,3.17839,3.17625,-0.217234,2255,4.49341
Wewnetrzna,5,25,2.01415,3.76143,3.17737,3.17727,-0.217234,2035,4.49341
Wewnetrzna,5,26,2.35427,3.00662,3.17698,3.17764,-0.217234,1365,4.49339
Wewnetrzna,5,27,1.94388,3.15717,3.17726,3.17738,-0.217234,2080,4.49341
Wewnetrzna,5,28,2.80483,1.7399,3.17803,3.17661,-0.217234,2105,4.49341
Wewnetrzna,5,29,2.77504,1.59153,3.17885,3.17579,-0.217234,1915,4.49341
Wewnetrzna,5,30,3.93559,1.75124,3.17735,3.17729,-0.217234,2085,4.49341
Wewnetrzna,5,31,4.68579,1.23399,3.1781,3.17654,-0.217234,2085,4.49341
Wewnetrzna,5,32,2.39362,2.08082,3.17717,3.17747,-0.217234,2045,4.49341
Wewnetrzna,5,33,2.23603,4.11201,3.17659,3.17805,-0.217234,2085,4.49341
Wewnetrzna,5,34,1.86514,2.41234,3.17756,3.17708,-0.217234,1505,4.49341
Wewnetrzna,5,35,2.18974,3.27502,3.17883,3.17581,-0.217234,1880,4.49341
Wewnetrzna,5,36,3.08758,1.49447,3.17798,3.17666,-0.217234,2184,4.49341
Wewnetrzna,5,37,3.78572,1.48398,3.17728,3.17736,-0.217234,1925,4.49341
Wewnetrzna,5,38,4.24442,1.09312,3.17628,3.17837,-0.217234,1900,4.49341
Wewnetrzna,5,39,2.80649,1.1893,3.1769,3.17775,-0.217234,2045,4.49341
Wewnetrzna,5,40,1.9282,1.02534,3.17808,3.17656,-0.217234,2235,4.49341
Wewnetrzna,5,41,1.20285,1.88127,3.17801,3.17664,-0.217234,2219,4.49341
Wewnetrzna,5,42,1.81336,4.13744,3.17835,3.17629,-0.217234,1880,4.49341
Wewnetrzna,5,43,2.63151,1.50016,3.17831,3.17633,-0.217234,2060,4.49341
Wewnetrzna,5,44,2.57998,3.58751,3.17809,3.17655,-0.217234,2105,4.49341
Wewnetrzna,5,45,2.64724,3.81502,3.1758,3.17884,-0.217234,1900,4.49341
Wewnetrzna,5,46,2.70052,3.51138,3.17798,3.17666,-0.217234,2075,4.49341
Wewnetrzna,5,47,1.22836,3.88927,3.178,3.17664,-0.217234,2255,4.49341
Wewnetrzna,5,48,1.7874,3.31494,3.17731,3.17732,-0.217234,1505,4.49341
Wewnetrzna,5,49,3.79792,3.12159,3.17745,3.17719,-0.217234,1535,4.49341
Wewnetrzna,5,50,3.21372,2.17947,3.1766,3.17804,-0.217234,2235,4.49341
Wewnetrzna,5,51,3.23164,1.46401,3.17808,3.17656,-0.217234,2100,4.49341
Wewnetrzna,5,52,1.79079,4.15884,3.17581,3.17883,-0.217234,2230,4.49341
Wewnetrzna,5,53,1.48835,1.99263,3.178,3.17665,-0.217234,2210,4.49341
Wewnetrzna,5,54,1.0411,2.30072,3.17812,3.17652,-0.217234,2015,4.49341
Wewnetrzna,5,55,1.13107,2.67162,3.17738,3.17726,-0.217234,2075,4.49341
Wewnetrzna,5,56,1.69675,4.37886,3.17615,3.17849,-0.217234,1870,4.49341
Wewnetrzna,5,57,3.08902,3.34299,3.17552,3.17912,-0.217234,2190,4.49341
Wewnetrzna,5,58,1.85537,3.42223,3.17742,3.17722,-0.217234,1515,4.49341
Wewnetrzna,5,59,3.67881,2.64177,3.17531,3.17933,-0.217234,2225,4.49341
Wewnetrzna,5,60,1.73817,3.06254,3.17904,3.1756,-0.217234,1910,4.49341
Wewnetrzna,5,61,1.18513,1.58787,3.17825,3.17639,-0.217234,2205,4.49341
Wewnetrzna,5,62,2.57943,3.39785,3.17806,3.17658,-0.217234,2195,4.49341
Wewnetrzna,5,63,1.64993,4.67783,3.17709,3.17755,-0.217234,1620,4.49341
Wewnetrzna,5,64,1.68262,3.4488,3.17707,3.17757,-0.217234,1500,4.49341
Wewnetrzna,5,65,4.17934,2.37837,3.17664,3.178,-0.217234,2090,4.49341
Wewnetrzna,5,66,2.82866,2.26935,3.17576,3.17888,-0.217234,1975,4.49341
Wewnetrzna,5,67,4.72036,1.02453,3.17713,3.17751,-0.217234,2000,4.49341
Wewnetrzna,5,68,2.05889,1.57673,3.17803,3.17661,-0.217234,2050,4.49341
Wewnetrzna,5,69,3.71901,2.98437,3.17736,3.17728,-0.217234,1940,4.49341
Wewnetrzna,5,70,1.02025,1.29944,3.17718,3.17745,-0.217234,1505,4.49341
Wewnetrzna,5,71,1.38322,2.78558,3.17839,3.17625,-0.217234,2110,4.49341
Wewnetrzna,5,72,1.11051,4.24308,3.17881,3.17583,-0.217234,2120,4.49341
Wewnetrzna,5,73,1.3427,4.07941,3.17572,3.17892,-0.217234,1890,4.49341
Wewnetrzna,5,74,2.69103,3.74862,3.17722,3.17742,-0.217234,2150,4.49341
Wewnetrzna,5,75,1.15141,4.51869,3.17649,3.17815,-0.217234,2090,4.49341
Wewnetrzna,5,76,1.01898,4.87077,3.17619,3.17845,-0.217234,1940,4.49341
Wewnetrzna,5,77,4.54222,2.07687,3.17815,3.17649,-0.217234,2245,4.49341
Wewnetrzna,5,78,1.4485,2.98898,3.17629,3.17835,-0.217234,2020,4.49341
Wewnetrzna,5,79,1.81457,3.66499,3.17816,3.17648,-0.217234,1990,4.49341
