Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
245,0.1,-0.401185,-0.0473531,-1.29892e-06,-1.99743e-06,1.80767e-10,130,5.46539e-07,-1.51864e-06,8.29483e-11,199
246,0.1,-0.440922,-0.210284,-3.60955e-06,-5.44675e-06,1.35955e-09,151,-2.36575e-06,-9.67016e-08,1.78514e-10,223
247,0.1,0.780345,-0.184706,0.774717,-1.29304e-06,0.619837,157,0.774713,3.25401e-06,0.619837,203
248,0.1,0.226424,-0.0274166,-4.01697e-06,3.80619e-07,5.18425e-10,148,0.774723,-3.29816e-06,0.619837,197
249,0.1,0.3165,0.17374,-3.49986e-06,-2.62169e-06,6.089e-10,152,0.774719,-6.26768e-06,0.619837,113
250,0.1,-0.155531,-0.809316,-1.50351e-06,-0.774721,0.619837,160,9.00954e-07,-0.774714,0.619837,145
251,0.1,0.820644,0.541439,0.774721,0.774716,1.23967,161,0.774722,0.77471,1.23967,147
252,0.1,0.543157,0.442328,0.774712,0.774713,1.23967,155,0.774714,0.774718,1.23967,223
253,0.1,-0.766244,0.620541,-0.774715,0.774715,1.23967,146,-0.774718,0.774716,1.23967,169
254,0.1,0.727333,0.464133,0.774721,0.774716,1.23967,158,0.774719,0.774717,1.23967,181
255,0.1,0.688239,0.598783,0.774713,0.774711,1.23967,122,0.77472,0.774712,1.23967,205
256,0.1,0.647703,-0.620252,0.774717,-0.774719,1.23967,155,0.774719,-4.6122e-06,0.619837,153
257,0.1,-0.756491,-0.84146,-0.774716,-0.774712,1.23967,159,-0.774716,-0.77472,1.23967,211
258,0.1,0.139796,0.438427,1.25372e-06,0.774719,0.619837,131,-9.7248e-07,0.774721,0.619837,185
259,0.1,-0.674517,-0.926944,-0.774712,-0.77471,1.23967,138,0.77472,-0.774718,1.23967,219
260,0.1,0.367136,-0.0757021,0.774717,5.8821e-06,0.619837,152,0.774709,-7.16176e-07,0.619837,131
261,0.1,0.0257034,0.926215,-4.5874e-06,0.774713,0.619837,132,2.85938e-07,-0.774709,0.619837,195
262,0.1,0.714014,-0.193952,0.77472,5.76321e-06,0.619837,137,0.774712,-7.49216e-07,0.619837,281
263,0.1,-0.258491,-0.0595617,4.7838e-06,-3.58255e-06,1.1374e-09,132,2.7672e-06,-2.57583e-06,4.55103e-10,239
264,0.1,0.778632,-0.941991,0.774713,-0.774718,1.23967,138,0.774716,-0.774712,1.23967,197
265,0.1,-0.885822,-0.3769,-0.774713,4.64033e-06,0.619837,136,-0.774713,-1.47863e-06,0.619837,273
266,0.1,-0.751307,0.934823,-0.77472,0.774715,1.23967,140,-0.774709,0.774714,1.23967,239
267,0.1,-0.83546,0.791849,-0.774718,0.774711,1.23967,141,-0.774726,0.774713,1.23967,141
268,0.1,0.377151,-0.601704,0.774721,-0.774714,1.23967,147,0.774713,-1.89635e-06,0.619837,183
269,0.1,0.41239,0.104483,0.774719,3.50806e-06,0.619837,137,-2.24871e-06,-1.02585e-06,1.94528e-10,181
270,0.1,0.862429,0.100629,0.774721,-6.06873e-06,0.619837,121,0.774712,2.00579e-06,0.619837,189
271,0.1,-0.296733,0.510132,-4.64269e-06,0.774719,0.619837,164,0.774729,-5.11067e-06,0.619837,135
272,0.1,0.480377,-0.053224,0.774713,-1.39282e-06,0.619837,111,0.774721,4.79413e-06,0.619837,187
273,0.1,0.668671,-0.379827,0.774714,-5.04096e-06,0.619837,133,0.774716,-1.84678e-06,0.619837,261
274,0.1,-0.614797,0.994155,-0.774721,0.774721,1.23967,163,-1.53511e-06,0.774718,0.619837,255
275,0.1,-0.30677,0.752339,4.57517e-06,0.774715,0.619837,146,-1.90827e-06,0.774719,0.619837,219
276,0.1,-0.0815475,0.718933,-4.50252e-06,0.774719,0.619837,122,5.41987e-07,0.774717,0.619837,189
277,0.1,0.678554,-0.367533,0.774721,-4.0681e-06,0.619837,156,0.774713,1.88925e-06,0.619837,183
278,0.1,-0.475019,-0.579937,-0.774713,-0.774713,1.23967,140,-8.59506e-07,-2.57599e-06,2.34822e-10,241
279,0.1,0.572905,-0.696387,0.774712,-0.77472,1.23967,133,0.774718,-0.774713,1.23967,205
280,0.1,-0.521928,0.687083,-0.774711,0.774718,1.23967,141,-4.37071e-06,0.774724,0.619837,227
281,0.1,-0.0732867,-0.273235,4.32717e-06,-5.34396e-06,1.50559e-09,124,-1.3111e-06,-3.98602e-06,5.60663e-10,181
282,0.1,0.621906,0.091253,0.774713,5.45806e-06,0.619837,156,0.774716,1.48568e-06,0.619837,223
283,0.1,-0.481386,-0.00094349,-0.774721,-3.54843e-06,0.619837,135,-5.30721e-06,-4.90916e-06,1.66429e-09,211
284,0.1,0.489549,0.931004,0.774718,0.774718,1.23967,133,0.774711,-6.5435e-06,0.619837,171
285,0.1,-0.89646,0.351978,-0.774719,1.85218e-07,0.619837,170,-0.774714,0.774713,1.23967,229
286,0.1,0.0316329,-0.193193,4.49765e-06,-4.68306e-06,1.34248e-09,149,5.05383e-06,-4.45263e-07,8.1961e-10,127
287,0.1,-0.137891,-0.48799,-1.04652e-07,-0.774721,0.619837,112,-4.12951e-06,1.01694e-07,5.43334e-10,173
288,0.1,0.753583,-0.469219,0.774713,-0.774712,1.23967,130,0.774723,3.27853e-06,0.619837,183
289,0.1,0.132183,-0.861214,5.36904e-06,-0.774715,0.619837,136,-1.63003e-06,-0.774716,0.619837,199
290,0.1,-0.475065,0.825413,-0.774711,0.774717,1.23967,119,-6.18058e-06,0.774703,0.619837,151
291,0.1,0.891125,0.443388,0.774719,0.774711,1.23967,140,0.774714,0.774716,1.23967,209
292,0.1,0.544346,0.569679,0.774717,0.774721,1.23967,151,0.774711,0.774716,1.23967,135
293,0.1,-0.924146,-0.930673,-0.774719,-0.774716,1.23967,138,-0.774714,-0.77472,1.23967,189
294,0.1,0.989742,0.648759,0.774715,0.774712,1.23967,148,0.774713,0.774717,1.23967,197
295,0.1,-0.62706,-0.532186,-0.774716,-0.774715,1.23967,131,-1.81794e-06,2.493e-06,3.03139e-10,165
296,0.1,0.335843,0.299653,2.90318e-06,-4.7171e-06,9.76913e-10,147,0.774715,0.774715,1.23967,153
297,0.1,0.194579,-0.0422514,-1.42716e-06,-2.86225e-06,3.25726e-10,138,0.774713,-1.96685e-06,0.619837,219
298,0.1,-0.609093,0.713193,-0.774718,0.774716,1.23967,127,9.36277e-07,0.774713,0.619837,225
299,0.1,0.956805,0.880456,0.774713,0.774718,1.23967,152,0.774715,0.774718,1.23967,173
300,0.1,0.644197,-0.939655,0.774715,-0.774713,1.23967,132,0.774719,-0.774716,1.23967,235
